C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2019/12/10,04:10:20,0000000316279415,NEXT_DAY_ACTUAL_GEN,0000000316279415
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",BARCSF1,0.10,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",BUTLERSG,11.199999,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CALL_A_4,0,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CAPTL_WF,0,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CATHROCK,37.949997,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CHALLHWF,30.700001,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CLOVER,-0.01,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CLUNY,20.411535,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CNUNDAWF,41.248116,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",CULLRGWF,8.98,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",ERGT01,0,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",GB01,-0.038765,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",GERMCRK,31.200001,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",GRIFSF1,0,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",HUGSF1,-0.2280,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",LKBONNY1,61.980698,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",LRSF1,0.0250,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",MBAHNTH,51.449997,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",MLSP1,0,"2019/12/09 04:00:04"
D,METER_DATA,GEN_DUID,1,"2019/12/09 04:05:00",MLWF1,11.309999,"2019/12/09 04:00:04"
